flight_id,aircraft_id,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status,delay_minutes,fare_usd
F911,A321,PNQ,DEL,2025-10-06T03:15:00,2025-10-06T03:38:00,2025-10-06T05:14:00,2025-10-06T05:40:00,completed,26,139
F353,B787,MUM,DEL,2025-10-05T23:17:00,2025-10-05T23:42:00,2025-10-06T01:06:00,2025-10-06T01:15:00,completed,9,142
F860,A350,BLR,MUM,2025-10-06T23:02:00,2025-10-06T23:10:00,2025-10-07T01:07:00,2025-10-07T01:07:00,completed,0,140
F369,A320,PNQ,MUM,2025-10-07T04:53:00,2025-10-07T04:55:00,2025-10-07T07:31:00,2025-10-07T07:37:00,completed,6,177
F420,B777,MUM,DEL,2025-10-05T22:53:00,2025-10-05T22:54:00,2025-10-06T00:50:00,2025-10-06T01:15:00,completed,25,157
F952,A320,MUM,GOI,2025-10-06T11:24:00,2025-10-06T11:26:00,2025-10-06T14:20:00,2025-10-06T14:52:00,completed,32,203
F718,A350,GOI,BLR,2025-10-07T04:52:00,2025-10-07T04:56:00,2025-10-07T07:30:00,2025-10-07T08:01:00,completed,31,176
F869,B787,BLR,CCU,2025-10-06T22:40:00,,2025-10-07T01:33:00,,cancelled,,0
F679,B787,DEL,BLR,2025-10-05T23:25:00,2025-10-05T23:37:00,2025-10-06T01:25:00,2025-10-06T01:37:00,completed,12,137
F150,B787,GOI,PNQ,2025-10-06T08:07:00,2025-10-06T08:32:00,2025-10-06T10:48:00,2025-10-06T11:13:00,completed,25,165
F517,A320,BLR,HYD,2025-10-07T00:43:00,,2025-10-07T02:54:00,,cancelled,,0
F647,A350,BLR,GOI,2025-10-06T09:54:00,2025-10-06T10:02:00,2025-10-06T12:36:00,2025-10-06T13:01:00,completed,25,179
F379,A320,GOI,CCU,2025-10-05T18:28:00,2025-10-05T18:40:00,2025-10-05T20:55:00,2025-10-05T20:55:00,completed,0,165
F170,B787,GOI,CCU,2025-10-05T19:40:00,2025-10-05T19:47:00,2025-10-05T22:05:00,2025-10-05T22:31:00,completed,26,172
F473,A320,DEL,GOI,2025-10-06T02:43:00,2025-10-06T03:01:00,2025-10-06T05:31:00,2025-10-06T05:37:00,completed,6,202
F496,B737,CCU,HYD,2025-10-06T18:41:00,,2025-10-06T20:52:00,,cancelled,,0
F816,A320,PNQ,BLR,2025-10-05T11:19:00,2025-10-05T11:44:00,2025-10-05T13:45:00,2025-10-05T14:15:00,completed,30,183
F440,A320,PNQ,GOI,2025-10-06T06:41:00,2025-10-06T06:57:00,2025-10-06T08:50:00,2025-10-06T09:05:00,completed,15,162
F830,B737,DEL,PNQ,2025-10-07T02:24:00,2025-10-07T02:34:00,2025-10-07T04:36:00,2025-10-07T05:05:00,completed,29,170
F053,B787,PNQ,GOI,2025-10-05T21:56:00,2025-10-05T22:18:00,2025-10-06T00:00:00,2025-10-06T00:06:00,completed,6,156
F592,B777,PNQ,GOI,2025-10-06T01:33:00,2025-10-06T01:50:00,2025-10-06T04:05:00,2025-10-06T04:27:00,completed,22,161
F495,B737,DEL,PNQ,2025-10-05T15:05:00,2025-10-05T15:28:00,2025-10-05T17:51:00,2025-10-05T17:55:00,completed,4,174
F045,A350,MUM,DEL,2025-10-06T18:46:00,2025-10-06T19:05:00,2025-10-06T20:35:00,2025-10-06T20:48:00,completed,13,139
F969,A321,CCU,MUM,2025-10-06T06:27:00,2025-10-06T06:32:00,2025-10-06T08:59:00,2025-10-06T09:05:00,completed,6,170
F032,A320,MUM,PNQ,2025-10-06T17:54:00,,2025-10-06T19:25:00,,cancelled,,0
F697,B777,CCU,HYD,2025-10-07T00:04:00,,2025-10-07T02:55:00,,cancelled,,0
F172,A321,GOI,HYD,2025-10-05T09:34:00,2025-10-05T09:36:00,2025-10-05T11:15:00,2025-10-05T11:42:00,completed,27,117
F662,B777,BLR,GOI,2025-10-06T20:14:00,2025-10-06T20:26:00,2025-10-06T22:16:00,2025-10-06T22:46:00,completed,30,145
F458,B787,PNQ,CCU,2025-10-05T06:19:00,2025-10-05T06:30:00,2025-10-05T08:37:00,2025-10-05T09:07:00,completed,30,178
F071,B787,PNQ,HYD,2025-10-06T11:43:00,2025-10-06T12:03:00,2025-10-06T13:46:00,2025-10-06T14:03:00,completed,17,164
F082,B737,MUM,PNQ,2025-10-06T17:49:00,,2025-10-06T19:25:00,,cancelled,,0
F199,B777,PNQ,GOI,2025-10-05T07:48:00,,2025-10-05T10:15:00,,cancelled,,0
F413,B777,GOI,HYD,2025-10-05T19:49:00,,2025-10-05T21:30:00,,cancelled,,0
F614,A350,CCU,DEL,2025-10-05T18:12:00,2025-10-05T18:22:00,2025-10-05T20:22:00,2025-10-05T20:41:00,completed,19,174
F050,A350,PNQ,DEL,2025-10-06T05:25:00,2025-10-06T05:46:00,2025-10-06T07:21:00,2025-10-06T07:27:00,completed,6,146
F143,A320,PNQ,GOI,2025-10-06T08:01:00,2025-10-06T08:22:00,2025-10-06T10:06:00,2025-10-06T10:09:00,completed,3,170
F828,A321,MUM,PNQ,2025-10-06T12:58:00,2025-10-06T13:19:00,2025-10-06T14:40:00,2025-10-06T15:09:00,completed,29,142
F324,A320,BLR,CCU,2025-10-07T02:59:00,2025-10-07T03:01:00,2025-10-07T05:46:00,2025-10-07T05:58:00,completed,12,207
F530,B737,DEL,HYD,2025-10-05T17:18:00,2025-10-05T17:38:00,2025-10-05T18:58:00,2025-10-05T19:09:00,completed,11,130
F624,B737,DEL,MUM,2025-10-06T19:39:00,2025-10-06T19:43:00,2025-10-06T22:21:00,2025-10-06T22:51:00,completed,30,188
F661,B777,MUM,GOI,2025-10-06T01:05:00,,2025-10-06T03:18:00,,cancelled,,0
F540,A320,GOI,DEL,2025-10-06T09:27:00,2025-10-06T09:44:00,2025-10-06T11:53:00,2025-10-06T12:09:00,completed,16,181
F349,B737,PNQ,GOI,2025-10-05T14:33:00,2025-10-05T14:49:00,2025-10-05T17:31:00,2025-10-05T17:53:00,completed,22,183
F892,A320,BLR,DEL,2025-10-06T04:03:00,2025-10-06T04:09:00,2025-10-06T05:38:00,2025-10-06T06:11:00,completed,33,134
F016,B737,CCU,MUM,2025-10-06T18:46:00,2025-10-06T18:49:00,2025-10-06T20:17:00,2025-10-06T20:51:00,completed,34,119
F769,B777,GOI,BLR,2025-10-05T14:25:00,2025-10-05T14:41:00,2025-10-05T16:34:00,2025-10-05T16:42:00,completed,8,163
F010,B787,DEL,MUM,2025-10-06T12:33:00,2025-10-06T12:53:00,2025-10-06T14:51:00,2025-10-06T15:26:00,completed,35,158
F208,A350,MUM,HYD,2025-10-06T02:05:00,,2025-10-06T03:58:00,,cancelled,,0
F539,B787,BLR,GOI,2025-10-06T23:32:00,2025-10-06T23:33:00,2025-10-07T01:08:00,2025-10-07T01:14:00,completed,6,107
F897,B787,GOI,HYD,2025-10-06T03:08:00,,2025-10-06T04:53:00,,cancelled,,0
F004,A350,PNQ,DEL,2025-10-05T15:53:00,2025-10-05T16:01:00,2025-10-05T18:52:00,2025-10-05T19:01:00,completed,9,194
F872,B777,MUM,PNQ,2025-10-05T05:34:00,2025-10-05T05:37:00,2025-10-05T07:12:00,2025-10-05T07:45:00,completed,33,114
F090,B787,PNQ,HYD,2025-10-05T15:26:00,2025-10-05T15:42:00,2025-10-05T17:51:00,2025-10-05T18:08:00,completed,17,190
F303,A321,GOI,CCU,2025-10-05T10:35:00,2025-10-05T10:57:00,2025-10-05T13:12:00,2025-10-05T13:35:00,completed,23,165
F159,B737,MUM,PNQ,2025-10-05T19:28:00,2025-10-05T19:28:00,2025-10-05T22:20:00,2025-10-05T22:23:00,completed,3,196
F107,B787,MUM,BLR,2025-10-06T23:42:00,2025-10-06T23:44:00,2025-10-07T01:39:00,2025-10-07T01:49:00,completed,10,140
F018,A321,CCU,DEL,2025-10-06T23:41:00,2025-10-06T23:57:00,2025-10-07T01:49:00,2025-10-07T02:01:00,completed,12,144
F017,B787,BLR,DEL,2025-10-06T01:02:00,2025-10-06T01:02:00,2025-10-06T03:27:00,2025-10-06T03:43:00,completed,16,182
F557,B737,MUM,DEL,2025-10-05T22:51:00,2025-10-05T23:13:00,2025-10-06T01:44:00,2025-10-06T02:17:00,completed,33,212
F622,B777,GOI,MUM,2025-10-05T14:08:00,2025-10-05T14:10:00,2025-10-05T16:37:00,2025-10-05T17:02:00,completed,25,177
F793,B737,HYD,CCU,2025-10-06T18:06:00,2025-10-06T18:21:00,2025-10-06T19:36:00,2025-10-06T19:51:00,completed,15,114
F980,B777,MUM,DEL,2025-10-06T20:28:00,2025-10-06T20:50:00,2025-10-06T21:59:00,2025-10-06T22:11:00,completed,12,120
F854,B737,GOI,PNQ,2025-10-07T02:18:00,2025-10-07T02:38:00,2025-10-07T05:13:00,2025-10-07T05:47:00,completed,34,214
F264,B787,BLR,MUM,2025-10-05T15:52:00,,2025-10-05T18:25:00,,cancelled,,0
F156,B777,GOI,PNQ,2025-10-05T15:32:00,2025-10-05T15:47:00,2025-10-05T17:55:00,2025-10-05T18:21:00,completed,26,166
F690,B787,HYD,MUM,2025-10-06T11:22:00,2025-10-06T11:38:00,2025-10-06T13:38:00,2025-10-06T14:06:00,completed,28,168
F916,B777,DEL,PNQ,2025-10-06T22:44:00,2025-10-06T23:01:00,2025-10-07T00:35:00,2025-10-07T00:49:00,completed,14,125
F800,B787,PNQ,MUM,2025-10-06T03:28:00,2025-10-06T03:34:00,2025-10-06T06:05:00,2025-10-06T06:18:00,completed,13,200
F925,A320,PNQ,GOI,2025-10-05T09:49:00,,2025-10-05T12:08:00,,cancelled,,0
F924,B737,PNQ,BLR,2025-10-07T05:00:00,2025-10-07T05:11:00,2025-10-07T07:21:00,2025-10-07T07:50:00,completed,29,187
F290,A321,HYD,PNQ,2025-10-06T13:28:00,2025-10-06T13:52:00,2025-10-06T15:59:00,2025-10-06T16:17:00,completed,18,176
F250,B737,GOI,CCU,2025-10-06T04:31:00,,2025-10-06T06:17:00,,cancelled,,0
F932,A350,BLR,HYD,2025-10-06T15:22:00,2025-10-06T15:23:00,2025-10-06T18:19:00,2025-10-06T18:23:00,completed,4,202
F001,B787,MUM,DEL,2025-10-05T23:46:00,2025-10-06T00:09:00,2025-10-06T01:47:00,2025-10-06T01:53:00,completed,6,163
F899,A320,MUM,HYD,2025-10-05T14:38:00,2025-10-05T14:49:00,2025-10-05T17:01:00,2025-10-05T17:36:00,completed,35,159
F949,B787,HYD,MUM,2025-10-07T04:02:00,2025-10-07T04:03:00,2025-10-07T05:46:00,2025-10-07T05:54:00,completed,8,149
F749,B787,MUM,GOI,2025-10-06T08:15:00,2025-10-06T08:31:00,2025-10-06T10:18:00,2025-10-06T10:45:00,completed,27,139
F266,A321,DEL,GOI,2025-10-06T05:05:00,2025-10-06T05:20:00,2025-10-06T06:41:00,2025-10-06T07:11:00,completed,30,124
F279,B737,DEL,CCU,2025-10-07T04:08:00,2025-10-07T04:32:00,2025-10-07T06:04:00,2025-10-07T06:34:00,completed,30,127
F212,A321,GOI,HYD,2025-10-05T07:58:00,2025-10-05T08:21:00,2025-10-05T10:20:00,2025-10-05T10:35:00,completed,15,176
F443,B777,CCU,DEL,2025-10-06T10:41:00,,2025-10-06T13:35:00,,cancelled,,0
F096,A320,MUM,HYD,2025-10-05T20:07:00,2025-10-05T20:16:00,2025-10-05T22:28:00,2025-10-05T22:51:00,completed,23,177
F763,B787,MUM,DEL,2025-10-05T21:53:00,2025-10-05T22:08:00,2025-10-06T00:30:00,2025-10-06T00:55:00,completed,25,171
F918,B787,HYD,PNQ,2025-10-05T21:50:00,2025-10-05T22:08:00,2025-10-05T23:51:00,2025-10-06T00:05:00,completed,14,166
F139,B787,DEL,CCU,2025-10-06T20:48:00,2025-10-06T21:08:00,2025-10-06T22:36:00,2025-10-06T22:52:00,completed,16,146
F541,B787,DEL,MUM,2025-10-07T04:27:00,2025-10-07T04:36:00,2025-10-07T07:24:00,2025-10-07T07:50:00,completed,26,185
F567,B777,PNQ,CCU,2025-10-06T21:57:00,2025-10-06T22:08:00,2025-10-07T00:27:00,2025-10-07T00:55:00,completed,28,162
F806,A350,BLR,GOI,2025-10-07T00:31:00,2025-10-07T00:37:00,2025-10-07T02:28:00,2025-10-07T02:46:00,completed,18,141
F225,B777,HYD,BLR,2025-10-07T02:21:00,2025-10-07T02:32:00,2025-10-07T05:16:00,2025-10-07T05:20:00,completed,4,210
F459,B737,BLR,GOI,2025-10-06T15:17:00,2025-10-06T15:22:00,2025-10-06T17:28:00,2025-10-06T17:29:00,completed,1,158
F748,A321,HYD,MUM,2025-10-06T07:55:00,2025-10-06T07:57:00,2025-10-06T09:43:00,2025-10-06T10:13:00,completed,30,153
F782,A350,HYD,CCU,2025-10-06T01:47:00,2025-10-06T02:00:00,2025-10-06T03:53:00,2025-10-06T04:11:00,completed,18,172
F778,B777,HYD,PNQ,2025-10-06T03:10:00,,2025-10-06T05:38:00,,cancelled,,0
F059,B777,DEL,HYD,2025-10-05T08:01:00,2025-10-05T08:17:00,2025-10-05T11:01:00,2025-10-05T11:35:00,completed,34,194
F273,B737,DEL,GOI,2025-10-06T16:11:00,2025-10-06T16:30:00,2025-10-06T17:58:00,2025-10-06T18:18:00,completed,20,126
F284,A320,CCU,PNQ,2025-10-06T18:04:00,,2025-10-06T20:22:00,,cancelled,,0
F041,A350,PNQ,DEL,2025-10-05T05:38:00,2025-10-05T05:56:00,2025-10-05T08:06:00,2025-10-05T08:12:00,completed,6,157
F889,B787,GOI,MUM,2025-10-06T14:12:00,,2025-10-06T15:52:00,,cancelled,,0
F277,B777,DEL,PNQ,2025-10-05T08:30:00,2025-10-05T08:46:00,2025-10-05T11:14:00,2025-10-05T11:38:00,completed,24,177
F810,B737,DEL,PNQ,2025-10-06T12:26:00,,2025-10-06T15:04:00,,cancelled,,0
F673,B777,PNQ,HYD,2025-10-06T13:39:00,2025-10-06T13:50:00,2025-10-06T16:18:00,2025-10-06T16:43:00,completed,25,174
F167,B737,HYD,PNQ,2025-10-05T12:22:00,2025-10-05T12:36:00,2025-10-05T14:54:00,2025-10-05T14:58:00,completed,4,162
F543,B787,CCU,DEL,2025-10-06T00:17:00,2025-10-06T00:32:00,2025-10-06T02:01:00,2025-10-06T02:13:00,completed,12,152
F051,B777,PNQ,HYD,2025-10-06T23:22:00,,2025-10-07T01:11:00,,cancelled,,0
F940,B777,GOI,PNQ,2025-10-06T17:11:00,2025-10-06T17:20:00,2025-10-06T19:51:00,2025-10-06T19:59:00,completed,8,183
F201,A320,PNQ,MUM,2025-10-05T10:45:00,2025-10-05T10:46:00,2025-10-05T13:19:00,2025-10-05T13:34:00,completed,15,187
F728,B777,CCU,PNQ,2025-10-06T21:17:00,2025-10-06T21:24:00,2025-10-06T23:19:00,2025-10-06T23:23:00,completed,4,130
F801,A320,MUM,GOI,2025-10-06T23:56:00,,2025-10-07T02:33:00,,cancelled,,0
F977,A320,MUM,HYD,2025-10-07T02:34:00,2025-10-07T02:59:00,2025-10-07T04:05:00,2025-10-07T04:12:00,completed,7,140
F802,B737,GOI,PNQ,2025-10-06T22:17:00,2025-10-06T22:36:00,2025-10-07T01:17:00,2025-10-07T01:37:00,completed,20,198
F901,A320,HYD,DEL,2025-10-05T05:26:00,2025-10-05T05:28:00,2025-10-05T06:56:00,2025-10-05T07:14:00,completed,18,127
F297,B787,HYD,CCU,2025-10-06T16:10:00,2025-10-06T16:31:00,2025-10-06T18:21:00,2025-10-06T18:27:00,completed,6,149
F005,A350,MUM,DEL,2025-10-06T06:56:00,2025-10-06T07:07:00,2025-10-06T08:38:00,2025-10-06T08:54:00,completed,16,114
F129,A321,GOI,BLR,2025-10-06T20:02:00,2025-10-06T20:26:00,2025-10-06T22:21:00,2025-10-06T22:47:00,completed,26,147
F178,B777,GOI,PNQ,2025-10-05T23:15:00,2025-10-05T23:37:00,2025-10-06T00:48:00,2025-10-06T01:07:00,completed,19,125
F777,A350,HYD,BLR,2025-10-07T02:49:00,2025-10-07T02:51:00,2025-10-07T04:44:00,2025-10-07T04:55:00,completed,11,152
F091,B777,PNQ,HYD,2025-10-06T12:44:00,2025-10-06T13:02:00,2025-10-06T15:09:00,2025-10-06T15:26:00,completed,17,170
F065,A350,CCU,PNQ,2025-10-07T00:12:00,2025-10-07T00:36:00,2025-10-07T03:01:00,2025-10-07T03:16:00,completed,15,191
F480,A321,HYD,BLR,2025-10-05T10:07:00,,2025-10-05T12:47:00,,cancelled,,0
F880,A321,CCU,HYD,2025-10-05T17:10:00,2025-10-05T17:14:00,2025-10-05T20:02:00,2025-10-05T20:36:00,completed,34,202
F776,B737,HYD,CCU,2025-10-05T14:23:00,2025-10-05T14:24:00,2025-10-05T16:13:00,2025-10-05T16:39:00,completed,26,119
F175,B737,PNQ,GOI,2025-10-05T08:30:00,2025-10-05T08:41:00,2025-10-05T10:36:00,2025-10-05T10:42:00,completed,6,169
F131,B787,DEL,CCU,2025-10-05T07:31:00,2025-10-05T07:49:00,2025-10-05T09:17:00,2025-10-05T09:38:00,completed,21,121
F484,B737,CCU,GOI,2025-10-06T14:30:00,2025-10-06T14:30:00,2025-10-06T16:19:00,2025-10-06T16:46:00,completed,27,123
F773,A350,DEL,MUM,2025-10-05T12:17:00,2025-10-05T12:41:00,2025-10-05T14:03:00,2025-10-05T14:20:00,completed,17,153
F545,A320,CCU,HYD,2025-10-05T19:10:00,,2025-10-05T22:08:00,,cancelled,,0
F719,A350,CCU,PNQ,2025-10-06T04:42:00,2025-10-06T04:42:00,2025-10-06T07:08:00,2025-10-06T07:32:00,completed,24,173
F142,B737,PNQ,HYD,2025-10-05T12:16:00,2025-10-05T12:27:00,2025-10-05T14:16:00,2025-10-05T14:34:00,completed,18,146
F230,A320,BLR,MUM,2025-10-05T07:59:00,,2025-10-05T09:54:00,,cancelled,,0
F367,A321,GOI,MUM,2025-10-05T21:31:00,2025-10-05T21:53:00,2025-10-05T23:33:00,2025-10-06T00:00:00,completed,27,154
F551,A350,PNQ,MUM,2025-10-05T17:29:00,2025-10-05T17:43:00,2025-10-05T19:13:00,2025-10-05T19:30:00,completed,17,138
F300,B787,MUM,CCU,2025-10-06T01:56:00,2025-10-06T02:12:00,2025-10-06T03:46:00,2025-10-06T04:05:00,completed,19,126
F895,A321,GOI,DEL,2025-10-06T01:58:00,2025-10-06T02:03:00,2025-10-06T03:40:00,2025-10-06T03:44:00,completed,4,118
F648,B737,CCU,GOI,2025-10-06T13:56:00,2025-10-06T14:13:00,2025-10-06T15:48:00,2025-10-06T16:18:00,completed,30,137
F836,B787,GOI,CCU,2025-10-06T14:13:00,2025-10-06T14:27:00,2025-10-06T15:57:00,2025-10-06T16:17:00,completed,20,149
F747,A321,MUM,PNQ,2025-10-06T07:49:00,2025-10-06T08:07:00,2025-10-06T10:16:00,2025-10-06T10:48:00,completed,32,157
F255,B777,DEL,MUM,2025-10-07T01:58:00,2025-10-07T02:17:00,2025-10-07T04:47:00,2025-10-07T05:08:00,completed,21,208
F312,B737,CCU,BLR,2025-10-05T20:12:00,2025-10-05T20:21:00,2025-10-05T21:42:00,2025-10-05T22:11:00,completed,29,135
F950,A320,BLR,DEL,2025-10-06T08:25:00,2025-10-06T08:39:00,2025-10-06T11:14:00,2025-10-06T11:36:00,completed,22,177
F195,B787,HYD,CCU,2025-10-06T19:29:00,2025-10-06T19:47:00,2025-10-06T22:13:00,2025-10-06T22:33:00,completed,20,208
F120,A320,GOI,CCU,2025-10-06T12:32:00,2025-10-06T12:48:00,2025-10-06T14:54:00,2025-10-06T15:17:00,completed,23,187
F397,B737,MUM,HYD,2025-10-07T01:46:00,2025-10-07T01:50:00,2025-10-07T03:32:00,2025-10-07T03:47:00,completed,15,124
F767,B787,CCU,PNQ,2025-10-07T03:51:00,2025-10-07T04:09:00,2025-10-07T05:50:00,2025-10-07T05:59:00,completed,9,154
F849,B787,CCU,HYD,2025-10-06T23:32:00,2025-10-06T23:45:00,2025-10-07T01:25:00,2025-10-07T02:00:00,completed,35,150
F759,B777,GOI,CCU,2025-10-05T07:58:00,2025-10-05T08:07:00,2025-10-05T10:00:00,2025-10-05T10:12:00,completed,12,169
F638,B777,CCU,DEL,2025-10-05T20:41:00,2025-10-05T20:44:00,2025-10-05T22:59:00,2025-10-05T23:00:00,completed,1,156
F229,B787,HYD,PNQ,2025-10-06T13:40:00,2025-10-06T13:44:00,2025-10-06T16:30:00,2025-10-06T16:34:00,completed,4,202
F752,B787,CCU,DEL,2025-10-05T12:40:00,2025-10-05T12:51:00,2025-10-05T15:35:00,2025-10-05T15:57:00,completed,22,190
F970,A321,CCU,BLR,2025-10-05T17:51:00,2025-10-05T18:07:00,2025-10-05T20:32:00,2025-10-05T21:06:00,completed,34,200
F516,A350,CCU,PNQ,2025-10-06T21:32:00,2025-10-06T21:53:00,2025-10-07T00:19:00,2025-10-07T00:25:00,completed,6,200
F190,A321,PNQ,CCU,2025-10-06T12:24:00,,2025-10-06T15:22:00,,cancelled,,0
F690,B787,HYD,MUM,2025-10-06T11:22:00,2025-10-06T11:38:00,2025-10-06T13:38:00,2025-10-06T14:06:00,completed,28,168
F635,B777,HYD,GOI,2025-10-06T19:28:00,2025-10-06T19:51:00,2025-10-06T22:19:00,2025-10-06T22:37:00,completed,18,179
F577,A350,HYD,BLR,2025-10-05T14:25:00,2025-10-05T14:48:00,2025-10-05T16:47:00,2025-10-05T17:19:00,completed,32,167
F965,A350,HYD,PNQ,2025-10-05T14:14:00,2025-10-05T14:22:00,2025-10-05T16:29:00,2025-10-05T16:52:00,completed,23,168
F112,A321,MUM,DEL,2025-10-05T16:19:00,2025-10-05T16:37:00,2025-10-05T18:28:00,2025-10-05T18:46:00,completed,18,164
F283,B787,GOI,HYD,2025-10-06T02:38:00,2025-10-06T03:03:00,2025-10-06T05:09:00,2025-10-06T05:26:00,completed,17,174
F158,B787,BLR,GOI,2025-10-07T01:01:00,2025-10-07T01:09:00,2025-10-07T03:16:00,2025-10-07T03:28:00,completed,12,148
F187,A321,HYD,GOI,2025-10-05T20:42:00,2025-10-05T21:03:00,2025-10-05T23:16:00,2025-10-05T23:38:00,completed,22,163
F177,A350,MUM,HYD,2025-10-06T20:11:00,2025-10-06T20:28:00,2025-10-06T22:09:00,2025-10-06T22:44:00,completed,35,127
F218,A321,PNQ,HYD,2025-10-06T04:51:00,2025-10-06T05:03:00,2025-10-06T06:24:00,2025-10-06T06:56:00,completed,32,127
F276,B777,BLR,PNQ,2025-10-07T03:58:00,2025-10-07T04:13:00,2025-10-07T06:48:00,2025-10-07T07:04:00,completed,16,210
F629,A350,HYD,BLR,2025-10-06T16:15:00,2025-10-06T16:26:00,2025-10-06T18:36:00,2025-10-06T19:07:00,completed,31,177
F460,B777,DEL,BLR,2025-10-06T00:10:00,2025-10-06T00:25:00,2025-10-06T01:47:00,2025-10-06T02:20:00,completed,33,129
F248,B777,DEL,GOI,2025-10-05T10:53:00,2025-10-05T11:15:00,2025-10-05T12:31:00,2025-10-05T13:01:00,completed,30,141
F834,B777,DEL,GOI,2025-10-05T15:51:00,2025-10-05T16:01:00,2025-10-05T18:22:00,2025-10-05T18:35:00,completed,13,193
F894,B737,GOI,DEL,2025-10-06T13:10:00,2025-10-06T13:32:00,2025-10-06T15:59:00,2025-10-06T16:07:00,completed,8,172
F572,B787,CCU,DEL,2025-10-06T11:45:00,2025-10-06T12:01:00,2025-10-06T14:13:00,2025-10-06T14:21:00,completed,8,184
F650,B787,MUM,PNQ,2025-10-05T20:41:00,2025-10-05T20:46:00,2025-10-05T23:08:00,2025-10-05T23:14:00,completed,6,165
F052,A321,PNQ,BLR,2025-10-05T17:05:00,2025-10-05T17:28:00,2025-10-05T19:27:00,2025-10-05T19:48:00,completed,21,174
F979,B777,BLR,HYD,2025-10-05T15:57:00,2025-10-05T16:16:00,2025-10-05T18:31:00,2025-10-05T18:46:00,completed,15,191
F804,B737,HYD,BLR,2025-10-06T22:36:00,2025-10-06T22:42:00,2025-10-07T00:35:00,2025-10-07T00:35:00,completed,0,134
F025,B777,HYD,DEL,2025-10-05T21:55:00,2025-10-05T21:55:00,2025-10-05T23:53:00,2025-10-06T00:28:00,completed,35,140
F715,B737,BLR,DEL,2025-10-05T16:25:00,2025-10-05T16:37:00,2025-10-05T18:30:00,2025-10-05T18:45:00,completed,15,132
F343,B737,CCU,HYD,2025-10-05T08:49:00,2025-10-05T08:54:00,2025-10-05T11:40:00,2025-10-05T11:45:00,completed,5,205
F269,A350,CCU,MUM,2025-10-05T10:01:00,2025-10-05T10:25:00,2025-10-05T12:20:00,2025-10-05T12:55:00,completed,35,162
F817,A321,DEL,HYD,2025-10-06T14:00:00,2025-10-06T14:10:00,2025-10-06T16:37:00,2025-10-06T16:46:00,completed,9,167
F176,B777,DEL,MUM,2025-10-07T01:49:00,2025-10-07T01:52:00,2025-10-07T04:20:00,2025-10-07T04:42:00,completed,22,191
F080,B787,HYD,BLR,2025-10-06T12:31:00,2025-10-06T12:43:00,2025-10-06T14:24:00,2025-10-06T14:44:00,completed,20,135
F741,A320,HYD,MUM,2025-10-05T15:39:00,2025-10-05T15:57:00,2025-10-05T17:26:00,2025-10-05T17:41:00,completed,15,130
F931,A321,CCU,DEL,2025-10-07T01:18:00,2025-10-07T01:42:00,2025-10-07T03:49:00,2025-10-07T04:02:00,completed,13,170
F594,B737,CCU,GOI,2025-10-06T08:32:00,2025-10-06T08:38:00,2025-10-06T10:13:00,2025-10-06T10:34:00,completed,21,132
F371,B737,MUM,DEL,2025-10-05T11:43:00,2025-10-05T12:06:00,2025-10-05T13:46:00,2025-10-05T14:19:00,completed,33,166
